Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
06/19/2022,Pancake,Recipe,Breakfast,1.0,Serving,178,0,3.25,10.25,28.25,1.25,4,3.75,57.50,483.75
06/19/2022,"Strawberries, Whole",Strawberry,Breakfast,20.0,Grams,6,0,0.6,0.13,1.54,0,0.98,0.40,0,0.20
06/19/2022,Real Whipped Cream,Cream,Breakfast,15.0,Grams,40,0,3,0.50,3,2,2,0,10,10
06/19/2022,"Syrup, Maple",Syrup,Breakfast,5.0,Milliliters,18,0,0.1,0,4.54,0,4.3,0,0,0.61
06/19/2022,White Pita Bread,PitaSandwich,Lunch,1.5,Pieces,160,0,1,5,33,0,1,1,0,250
06/19/2022,Tzatziki 2tbsp 30gm,SourCream,Lunch,40.0,Grams,67,0,4.67,2.67,2.67,2.67,1.33,0,13.33,126.67
06/19/2022,"Chicken, Thigh, Skinless, Cooked, Meat Only",Chicken,Lunch,170.0,Grams,304,0,13.86,42.9,0,3.93,0,0,226.10,180.20
06/19/2022,"Beer, Budweiser",Beer,Snacks,355.0,Milliliters,136,0,n/a,1.22,9.94,n/a,n/a,n/a,n/a,n/a
06/19/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,2.0,Pieces,44,0,2.44,0.44,5.33,1.33,4.67,0.67,n/a,n/a
06/19/2022,White Pita Bread,PitaSandwich,Snacks,1.5,Pieces,160,0,1,5,33,0,1,1,0,250
06/19/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,3.0,Pieces,67,0,3.67,0.67,8,2,7,1,n/a,n/a
06/19/2022,Crackers Garden Vegetable,Cracker,Snacks,6.0,Pieces,135,0,5.25,3,18,2.25,3,1.50,0,225
06/19/2022,Cinnamon Square,CinnamonRoll,Snacks,1.0,Serving,90,0,3,0,19,1.50,8,5,0,85
06/18/2022,McGillicuddy's black licorice liqueur,Alcohol,Breakfast,2.25,Ounces,162,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
06/18/2022,"Chicken, Thigh, Skinless, Cooked, Meat Only",Chicken,Dinner,100.0,Grams,179,0,8.15,24.76,0,2.31,0,0,133,106
06/18/2022,"Chicken Breast, Skinless, Cooked",Chicken,Dinner,180.0,Grams,297,0,6.43,55.84,0,1.82,0,0,153,133.20
06/18/2022,Small Red Potatos,Potato,Dinner,120.0,Grams,186,0,2.12,29.63,250.59,0.42,15.66,26.67,0,93.55
06/18/2022,Tzatziki 2tbsp 30gm,SourCream,Dinner,55.0,Grams,92,0,6.42,3.67,3.67,3.67,1.83,0,18.33,174.17
06/18/2022,"Beer, Alexander Keith's, Pale Ale",Beer,Dinner,23.0,Fluid ounces,305,0,0,3.45,22.43,0,n/a,n/a,0,n/a
06/18/2022,White Pita Bread,PitaSandwich,Dinner,1.5,Pieces,160,0,1,5,33,0,1,1,0,250
06/18/2022,Olive Hearth Loaf,OliveBlack,Snacks,0.5,Serving,75,0,1.25,3,13,0.15,0,1,0,160
06/18/2022,Bbq Chips,PotatoChip,Snacks,4.0,Grams,21,0,1.28,0.32,2.24,0.8,0.24,0.16,0,22.40
06/18/2022,Ice Cream Sandwich,Sandwich,Snacks,1.0,Serving,220,0,8,2,35,1,21,1,5,85
